rule_id,file_path,line_number,matched_text,crypto_family,usage_category,severity,confidence,risk_score,risk_level,reason,recommendation
rsa_api_usage,auth_service.py,22,generate_private_key,RSA,application_crypto,high,high,80,high,Application-level RSA code is a direct migration and ownership target.,"Review code owner, purpose, key size, data lifetime, and migration path to approved PQC/hybrid primitives."
rsa_tls_cert_config,auth_service.py,22,rsa,RSA,tls_certificate,high,high,95,critical,TLS certificates and RSA-authenticated ciphersuites are priority assets for PQC transition planning.,"Inventory certificate issuers, validity windows, renewal automation, and hybrid/PQC certificate roadmap."
jwt_classical_algorithms,jwt_config.json,3,ES256,JWT public-key signatures,jwt_signing,high,high,95,critical,JWT signing algorithms protect authentication and authorization tokens and are high-priority migration inventory.,"Identify issuers, verifiers, key rotation flows, and standards-compatible PQC or hybrid token signing options."
jwt_classical_algorithms,jwt_config.json,3,jwt_algorithm,JWT public-key signatures,jwt_signing,high,high,95,critical,JWT signing algorithms protect authentication and authorization tokens and are high-priority migration inventory.,"Identify issuers, verifiers, key rotation flows, and standards-compatible PQC or hybrid token signing options."
ed25519_eddsa_reference,jwt_config.json,4,EdDSA,EdDSA,signing,high,high,95,critical,EdDSA/Ed25519 are modern classical signature schemes but still not post-quantum secure.,Inventory signing use and monitor migration paths to approved PQC signatures.
jwt_classical_algorithms,jwt_config.json,4,ES256,JWT public-key signatures,jwt_signing,high,high,95,critical,JWT signing algorithms protect authentication and authorization tokens and are high-priority migration inventory.,"Identify issuers, verifiers, key rotation flows, and standards-compatible PQC or hybrid token signing options."
jwt_classical_algorithms,jwt_config.json,4,EdDSA,JWT public-key signatures,jwt_signing,high,high,95,critical,JWT signing algorithms protect authentication and authorization tokens and are high-priority migration inventory.,"Identify issuers, verifiers, key rotation flows, and standards-compatible PQC or hybrid token signing options."
jwt_classical_algorithms,jwt_config.json,4,RS256,JWT public-key signatures,jwt_signing,high,high,95,critical,JWT signing algorithms protect authentication and authorization tokens and are high-priority migration inventory.,"Identify issuers, verifiers, key rotation flows, and standards-compatible PQC or hybrid token signing options."
rsa_public_key_marker,jwt_config.json,5,-----BEGIN PUBLIC KEY-----,RSA,public_key,medium,medium,45,medium,Public key material helps inventory RSA trust anchors and integration points.,Confirm algorithm and owner; include the trust chain in PQC migration planning.
x509_certificate_reference,jwt_config.json,6,x509,X.509 certificates,certificate,medium,medium,60,medium,X.509 trust chains often contain RSA or ECC keys and need inventory for PQC migration.,"Map issuing CA, certificate profile, key algorithm, consumers, and renewal automation."
x509_certificate_reference,nginx.conf,6,ssl_certificate,X.509 certificates,certificate,medium,medium,70,high,X.509 trust chains often contain RSA or ECC keys and need inventory for PQC migration.,"Map issuing CA, certificate profile, key algorithm, consumers, and renewal automation."
ecc_ecdsa_ecdh_reference,nginx.conf,8,ECDSA,ECC,signing_key_agreement,high,high,80,high,ECC signatures and ECDH key agreement are quantum-vulnerable public-key cryptography.,Identify protocol owners and track standards-approved PQC or hybrid replacements for signing and key agreement.
rsa_tls_cert_config,nginx.conf,8,ECDHE-RSA,RSA,tls_certificate,high,high,95,critical,TLS certificates and RSA-authenticated ciphersuites are priority assets for PQC transition planning.,"Inventory certificate issuers, validity windows, renewal automation, and hybrid/PQC certificate roadmap."
openssl_usage,package.json,6,node-forge,OpenSSL,dependency,medium,medium,52,medium,OpenSSL-backed cryptography needs inventory to understand enabled algorithms and upgrade paths.,"Pin supported versions, enumerate enabled algorithms, and verify PQC/hybrid support plans for dependent services."
ed25519_eddsa_reference,package.json,10,EdDSA,EdDSA,signing,high,high,95,critical,EdDSA/Ed25519 are modern classical signature schemes but still not post-quantum secure.,Inventory signing use and monitor migration paths to approved PQC signatures.
jwt_classical_algorithms,package.json,10,ES256,JWT public-key signatures,jwt_signing,high,high,95,critical,JWT signing algorithms protect authentication and authorization tokens and are high-priority migration inventory.,"Identify issuers, verifiers, key rotation flows, and standards-compatible PQC or hybrid token signing options."
jwt_classical_algorithms,package.json,10,EdDSA,JWT public-key signatures,jwt_signing,high,high,95,critical,JWT signing algorithms protect authentication and authorization tokens and are high-priority migration inventory.,"Identify issuers, verifiers, key rotation flows, and standards-compatible PQC or hybrid token signing options."
jwt_classical_algorithms,package.json,10,RS256,JWT public-key signatures,jwt_signing,high,high,95,critical,JWT signing algorithms protect authentication and authorization tokens and are high-priority migration inventory.,"Identify issuers, verifiers, key rotation flows, and standards-compatible PQC or hybrid token signing options."
rsa_tls_cert_config,package.json,11,rsa,RSA,tls_certificate,high,high,85,critical,TLS certificates and RSA-authenticated ciphersuites are priority assets for PQC transition planning.,"Inventory certificate issuers, validity windows, renewal automation, and hybrid/PQC certificate roadmap."
ssh_classical_key_reference,package.json,11,ssh-rsa,SSH public-key cryptography,ssh,high,high,77,high,SSH host and user keys are authentication assets that may need algorithm migration.,"Inventory host/user key locations, rotate away from legacy algorithms where possible, and track PQC SSH support."
openssl_usage,requirements.txt,3,pyOpenSSL,OpenSSL,dependency,medium,medium,40,medium,OpenSSL-backed cryptography needs inventory to understand enabled algorithms and upgrade paths.,"Pin supported versions, enumerate enabled algorithms, and verify PQC/hybrid support plans for dependent services."
ecc_ecdsa_ecdh_reference,terraform.tf,8,ECDSA,ECC,signing_key_agreement,high,high,80,high,ECC signatures and ECDH key agreement are quantum-vulnerable public-key cryptography.,Identify protocol owners and track standards-approved PQC or hybrid replacements for signing and key agreement.
ecc_ecdsa_ecdh_reference,terraform.tf,9,P256,ECC,signing_key_agreement,high,high,80,high,ECC signatures and ECDH key agreement are quantum-vulnerable public-key cryptography.,Identify protocol owners and track standards-approved PQC or hybrid replacements for signing and key agreement.
rsa_tls_cert_config,terraform.tf,13,rsa,RSA,tls_certificate,high,high,95,critical,TLS certificates and RSA-authenticated ciphersuites are priority assets for PQC transition planning.,"Inventory certificate issuers, validity windows, renewal automation, and hybrid/PQC certificate roadmap."
x509_certificate_reference,terraform.tf,14,certificates,X.509 certificates,certificate,medium,medium,70,high,X.509 trust chains often contain RSA or ECC keys and need inventory for PQC migration.,"Map issuing CA, certificate profile, key algorithm, consumers, and renewal automation."
x509_certificate_reference,terraform.tf,15,certificates,X.509 certificates,certificate,medium,medium,70,high,X.509 trust chains often contain RSA or ECC keys and need inventory for PQC migration.,"Map issuing CA, certificate profile, key algorithm, consumers, and renewal automation."
